Père,Nature_Père,EP,Nature_EP,Intitulé,Nbre_Choix,ECTS,ECTS_CALCULE,Coefficient,,,,Volume CM,Volume CI,Volume TD,Volume TDM,Volume TP,Volume TPT,Volume TI,Volume PRJ,Responsables,Intervenants,Langue cours,Langue support,EP_POINTE,Thematique
IIEIN3,AN,EIS6,SEMESTRE,SEMESTRE 6 - INFORMATIQUE,,,30,,,,,0,0,0,0,0,0,0,0,Amina Guermouche,,Français,Français,EIS6,
EIS6,SEMESTRE,EI6A,UE,UE I6-A - Algorithmique et mathématiques 2,,10,10,,,,,0,0,0,0,0,0,0,0,Mathieu Faverge,,Français,Français,EI6A,
EI6A,UE,EI6IF106,MODULE,Algorithmique de graphes,,,,3,,,,0,40,0,0,0,0,21.3,0,Denis Lapoire,"Amélie Halter:,Nicolas Hanusse:nhanusse,Denis Lapoire:lapoire",Français,Français,EI6IF106,
EI6A,UE,EI5IF114,MODULE,Automates finis et applications,,,,2,,,,0,16,0,0,0,0,12,0,Frédéric Herbreteau,,Français,Français,EI5IF114,
EI6A,UE,EI6IS104,MODULE,Algorithmique numérique,,,,3,,,,0,48,0,0,0,0,18,0,Mathieu Faverge,"Emmanuel Agullo:eagullo,Laurent Chancogne:lchancogne,Marc Durufle:durufle,Mathieu Faverge:mfaverge,Alycia Lisito:alisito,Pierre Ramet:ramet,Clément Richefort:crichefort",Français,Français,EI6IS104,
EI6A,UE,EI6IF127,MODULE,Recherche Opérationnelle,,,,2,,,,5.33,0,10,0,0,0,0,0,Pierre Pesneau,"Komlavi Ametana:,Boris Detienne:bdetienn,Sarah Larroze-jardine:,Pierre Pesneau:ppesneau",Français,Français,EI6IF127,Optimisation mathématique
EIS6,SEMESTRE,EI6B,UE,UE I6-B - Programmation et environnement informatique 2,,10,10,,,,,0,0,0,0,0,0,0,0,Julien Allali,,Français,Français,EI6B,
EI6B,UE,EI6PG104,MODULE,Programmation fonctionnelle,,,,3,,,,16,0,20,0,0,0,10.5,0,David Renault,"Nicolas Ducarton:nducarton,Theo Matricon:tmatricon,David Renault:renault,Antoine Rollet:rollet",Français,Français,EI6PG104,"Ce cours présente la programmation sous un aspect différent des cours du S5. Le style de programmation présenté au premier semestre est 'impératif', ce cours présente le style de programmation 'fonctionnel'. L'étude de ce style permet d'explorer une nouvelle famille de techniques de programmation, ainsi que de se poser la question de qualités logicielles permettant de distinguer ces différents styles. L'utilisation du langage de programmation Javascript permet de souligner ces différents contrastes."
EI6B,UE,EI6PG106,MODULE,Programmation impérative 2 et développement logiciel,,,,3,,,,10.66,0,24,0,15,0,14.41,0,Julien Allali,"Julien Allali:allali,Laureen Fabre:,Floréal Morandat:fmorandat,Lana Scravaglieri:lscravaglier",Français,Français,EI6PG106,programmation
EI6B,UE,EI6PG116,MODULE,Atelier Algorithme et Programmation ,,,,2,,,,0,0,10.66,0,0,0,21.33,0,Georges Eyrolles,"Georges Eyrolles:georgy,Frédéric Herbreteau:herbrete,Frederic Mazoit:fmazoit,David Renault:renault",Français,Français,EI6PG116,
EI6B,UE,EI6RE100,MODULE,Introduction aux réseaux,,,,2,,,,0,10,4,0,4,0,8,0,Toufik Ahmed,"Toufik Ahmed:ahmed,Sébastien Bouchard:sebouchard,Albert Daviau De Piolant:,Badreddine Yacine Yacheur:byyacheur",Français,Français,EI6RE100,Réseaux
EIS6,SEMESTRE,EI6C,UE,UE I6-C - Projets 2,,5,5,,,,,0,0,0,0,0,0,0,0,David Renault,,Français,Français,EI6C,
EI6C,UE,EI6PR105,MODULE,Projet de programmation impérative,,,,2.5,,,,0,0,30,0,0,0,30,0,David Renault,"Theo De Castro Pinto:tdcpinto,Georges Eyrolles:georgy,Mathieu Faverge:mfaverge,Frédéric Herbreteau:herbrete,Mihail Popov:mpopov001,David Renault:renault,Lana Scravaglieri:lscravaglier",Français,Français,EI6PR105,
EI6C,UE,EI6PR106,MODULE,Projet de programmation fonctionnelle,,,,2.5,,,,0,0,30,0,0,0,30,0,David Renault,"Vincent Alba:valba,Nicolas Ducarton:nducarton,Pierre Lafourcade_old:,Mehdi Lezian Lauters:,Sylvain Lombardy:slombardy,Hector Piteau:hpiteau001",Français,Français,EI6PR106,
EIS6,SEMESTRE,EI6D,UE,UE I6-D - Langues et culture de l'ingénieur,,5,5,,,,,0,0,0,0,0,0,0,0,,,Français,Français,EE6E,
EI6D,UE,EE6LC104,MODULE,LV1 Anglais S6,,,,1.5,,,,0,10,16,0,0,0,10,0,Leann Stevens-Larre,"Kenneth Beirne:beirne,Claudia Couturier:brosnaha,Katie Johnston:kjohnston,Géraldine Llopis:gllopis,Pablo Loring:ploring,Emilie Paillard:epaillard,Leann Stevens-larre:lstevens,Matthew Stroud:mstroud,Helen Wilbourne:hwilbourne",Anglais,Anglais,EE6LC104,
EI6D,UE,EE6LC112,MODULE,LV2  S6,,,,1,,,,0,0,18.66,0,0,0,7,0,Kenneth Beirne,"Generoso Agrafojo:agrafojo,Adrien Barbosa Da Cunha:abarbosadac,Kenneth Beirne:beirne,Airi Cannasse:acannasse,Etsumi Gabrion:esatogabrio,Estefania Guerrero Lopez:eguerrerolop,Paola Perego:pperego,Lucia Perriere:lperriere,Matthias Richter:mrichter002,Leann Stevens-larre:lstevens,Agustina Velasquez:velasque,Martin Yue:myue",Français,Français,EE6LC112,"Deuxième langue étrangère, au choix parmi l'allemand, l'espagnol, l'italien, le portugais, le chinois et le japonais. D'autres langues peuvent être suivies grâce à un accord avec l'Université de Montaigne. 
Le français langue étangère (FLE) et dans certains cas l'anglais ""faux débutants"" sont considérés comme LV2. 
Une 3e langue ou une activité artistique est en option. 
L'évaluation des options apporte un bonus de 0 à 2 points au contrôle continu de la LV2. "
EI6D,UE,EE6LC106,MODULE,Activités Physiques Sportives et artistiques (S6),,,,1,,,,0,0,24,0,0,0,0,0,Dominique Veschambre,"Philippe Romant:promant,Dominique Veschambre:veschamb",Français,Français,EE6LC106,
EI6D,UE,EE6CE162,MODULE,Développement durable et responsabilité sociétale : Partie 2/2,,,,0.5,,,,2,0,0,0,12,0,0,0,"Christophe Jego,Armande Capitaine,Annabelle Collin","Annabelle Collin:acollin001,Corinne Dejous:dejous,Anthony Ghiotto:aghiotto,Christophe JÉgo:cjego,Sylvie Renaud:renaud,Adrien Vincent:avincent005",Français,Français,EE6CE162,Entreprise - environnement - société
EI6D,UE,EE6CE167,MODULE,Intégrer l'entreprise,,,,1,,,,10,0,14,0,0,0,4,0,Eric Astien,,Français,Français,EE6CE167,Entreprise - métiers - communication - manager - entrepreneuriat - gestion de projet
